"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.010664,0.0059912,0.025496,-3.0716e-06,0.0076478,-0.00021321,0,0,0.046405,-0.019892,0,-0.0011087,0,0,0,0.025498,-5.1108e-06,0.0076478,-0.47939,0.011047,0.022667,3.7649e-07,0.22,0,0
0.011131,0.0060697,0.025795,2.5954e-06,0.0077391,-0.00019929,0,0,0.046944,-0.020115,0,-0.0010363,0,0,0,0.025796,8.2701e-07,0.0077391,-0.44324,0.011179,0.022928,3.8976e-07,0.23,0,0
0.011603,0.0061516,0.02607,7.4942e-06,0.0078232,-0.0001821,0,0,0.047441,-0.020321,0,-0.0009469,0,0,0,0.026071,6.0265e-06,0.0078232,-0.40098,0.0113,0.023168,4.0227e-07,0.24,0,0
0.01208,0.0062379,0.026318,1.1538e-05,0.0078988,-0.0001623,0,0,0.04789,-0.020507,0,-0.00084394,0,0,0,0.026319,1.0377e-05,0.0078988,-0.35419,0.011409,0.023385,4.1377e-07,0.25,0,0
0.012561,0.0063297,0.026535,1.4695e-05,0.007965,-0.00014053,0,0,0.048283,-0.020671,0,-0.00073075,0,0,0,0.026536,1.3825e-05,0.007965,-0.30429,0.011505,0.023575,4.2403e-07,0.26,0,0
0.013046,0.0064278,0.02672,1.6989e-05,0.008021,-0.00011744,0,0,0.048616,-0.02081,0,-0.00061066,0,0,0,0.02672,1.638e-05,0.008021,-0.2526,0.011586,0.023736,4.3286e-07,0.27,0,0
0.013533,0.0065325,0.02687,1.8486e-05,0.0080664,-9.3675e-05,0,0,0.048888,-0.020925,0,-0.00048711,0,0,0,0.02687,1.8094e-05,0.0080664,-0.2004,0.011652,0.023868,4.4015e-07,0.28,0,0
0.014023,0.0066442,0.026985,1.9274e-05,0.0081012,-6.9931e-05,0,0,0.049097,-0.021013,0,-0.00036364,0,0,0,0.026985,1.905e-05,0.0081012,-0.14898,0.011702,0.02397,4.4581e-07,0.29,0,0
0.014515,0.006763,0.027066,1.9444e-05,0.0081257,-4.6895e-05,0,0,0.049245,-0.021076,0,-0.00024386,0,0,0,0.027066,1.9337e-05,0.0081257,-0.099608,0.011737,0.024042,4.4983e-07,0.3,0,0
0.015008,0.0068885,0.027115,1.9077e-05,0.0081402,-2.5236e-05,0,0,0.049334,-0.021115,0,-0.00013123,0,0,0,0.027115,1.9039e-05,0.0081402,-0.05351,0.011758,0.024085,4.5226e-07,0.31,0,0
0.015502,0.0070205,0.027133,1.8233e-05,0.0081455,-5.5575e-06,0,0,0.049369,-0.021131,0,-2.8899e-05,0,0,0,0.027133,1.8224e-05,0.0081455,-0.011791,0.011766,0.024102,4.532e-07,0.32,0,0
0.015996,0.0071585,0.027125,1.6962e-05,0.0081427,1.1638e-05,0,0,0.049355,-0.021127,0,6.052e-05,0,0,0,0.027125,1.6951e-05,0.0081427,0.024624,0.011762,0.024096,4.5281e-07,0.33,0,0
0.016489,0.0073016,0.027095,1.5303e-05,0.008133,2.598e-05,0,0,0.0493,-0.021106,0,0.0001351,0,0,0,0.027095,1.5272e-05,0.008133,0.055039,0.011748,0.02407,4.5129e-07,0.34,0,0
0.016982,0.0074493,0.027045,1.3294e-05,0.0081176,3.7242e-05,0,0,0.049212,-0.021071,0,0.00019366,0,0,0,0.027045,1.3236e-05,0.0081176,0.079022,0.011725,0.024028,4.4886e-07,0.35,0,0
0.017473,0.0076005,0.026982,1.0978e-05,0.0080979,4.5343e-05,0,0,0.049099,-0.021026,0,0.00023578,0,0,0,0.026982,1.0893e-05,0.0080979,0.096404,0.011697,0.023974,4.4576e-07,0.36,0,0
0.017964,0.0077545,0.026909,8.4029e-06,0.0080754,5.0339e-05,0,0,0.048969,-0.020974,0,0.00026176,0,0,0,0.02691,8.2977e-06,0.0080754,0.10728,0.011664,0.023911,4.4222e-07,0.37,0,0
0.018453,0.0079102,0.026832,5.6227e-06,0.0080513,5.2402e-05,0,0,0.04883,-0.020919,0,0.00027249,0,0,0,0.026832,5.5085e-06,0.0080513,0.11195,0.01163,0.023844,4.3845e-07,0.38,0,0
0.01894,0.0080668,0.026753,2.6963e-06,0.0080268,5.1797e-05,0,0,0.048689,-0.020863,0,0.00026934,0,0,0,0.026754,2.5843e-06,0.0080268,0.11094,0.011594,0.023777,4.3466e-07,0.39,0,0
0.019426,0.0082235,0.026678,-3.1543e-07,0.0080032,4.8855e-05,0,0,0.048554,-0.020809,0,0.00025405,0,0,0,0.026678,-4.156e-07,0.0080032,0.1049,0.01156,0.023712,4.3103e-07,0.4,0,0
0.019911,0.0083793,0.026608,-3.3524e-06,0.0079813,4.3955e-05,0,0,0.048429,-0.02076,0,0.00022856,0,0,0,0.026608,-3.434e-06,0.0079813,0.09459,0.011529,0.023652,4.277e-07,0.41,0,0
0.020395,0.0085336,0.026546,-6.3571e-06,0.0079619,3.749e-05,0,0,0.048319,-0.020718,0,0.00019495,0,0,0,0.026546,-6.4171e-06,0.0079619,0.08084,0.011501,0.0236,4.2479e-07,0.42,0,0
0.020878,0.0086857,0.026495,-9.2765e-06,0.0079457,2.9858e-05,0,0,0.048228,-0.020683,0,0.00015526,0,0,0,0.026495,-9.3151e-06,0.0079457,0.06449,0.011477,0.023557,4.2239e-07,0.43,0,0
0.02136,0.008835,0.026455,-1.2063e-05,0.007933,2.1438e-05,0,0,0.048158,-0.020657,0,0.00011148,0,0,0,0.026455,-1.2084e-05,0.007933,0.046362,0.011459,0.023524,4.2055e-07,0.44,0,0
0.021841,0.008981,0.026428,-1.4676e-05,0.0079241,1.2577e-05,0,0,0.048111,-0.020641,0,6.5399e-05,0,0,0,0.026428,-1.4684e-05,0.0079241,0.027224,0.011446,0.023502,4.1931e-07,0.45,0,0
0.022322,0.0091233,0.026414,-1.7081e-05,0.0079192,3.583e-06,0,0,0.048088,-0.020634,0,1.8632e-05,0,0,0,0.026414,-1.7084e-05,0.0079192,0.0077652,0.011439,0.023491,4.1869e-07,0.46,0,0
0.022803,0.0092616,0.026413,-1.9254e-05,0.0079183,-5.2821e-06,0,0,0.048088,-0.020638,0,-2.7467e-05,0,0,0,0.026413,-1.9257e-05,0.0079183,-0.011423,0.011438,0.023492,4.1868e-07,0.47,0,0
0.023284,0.0093957,0.026425,-2.1176e-05,0.0079212,-1.3807e-05,0,0,0.04811,-0.02065,0,-7.1794e-05,0,0,0,0.026425,-2.1186e-05,0.0079212,-0.029856,0.011442,0.023504,4.1927e-07,0.48,0,0
0.023765,0.0095252,0.026449,-2.2837e-05,0.0079278,-2.1827e-05,0,0,0.048155,-0.020672,0,-0.0001135,0,0,0,0.026449,-2.286e-05,0.0079278,-0.047159,0.011451,0.023527,4.2043e-07,0.49,0,0
0.024247,0.0096502,0.026484,-2.4236e-05,0.0079378,-2.9226e-05,0,0,0.048219,-0.020701,0,-0.00015198,0,0,0,0.026484,-2.4275e-05,0.0079378,-0.063061,0.011466,0.023559,4.2213e-07,0.5,0,0
0.024729,0.0097706,0.026529,-2.5377e-05,0.007951,-3.5928e-05,0,0,0.048302,-0.020739,0,-0.00018683,0,0,0,0.026529,-2.5434e-05,0.007951,-0.077389,0.011485,0.0236,4.2431e-07,0.51,0,0
